image_id,model,Bleu_1,Bleu_2,Bleu_3,Bleu_4,METEOR,ROUGE_L,CIDEr,SPICE All,SPICE Obj,SPICE Rel,caption,t_load,t_embed,t_sys,t_img,t_usr,t_sample,tokens,mem_llm,mem_clip,mem_other
74,llava-v1.5-7B-F16,0.7514772928605784,0.6860017745795912,0.5210452534093158,7.17993562935127e-05,0.27464711463596864,0.6112224448897796,0.9959650828330504,0.2608695652173913,0.4,0.18181818181818182, A dog is laying on the sidewalk.,9.815770179993706,2.4638583889754955,2.8119927019870374,38.161621498991735,1.1014143269858323,6.307840565015795,11,12853.02,595.49,1220.9
2153,llava-v1.5-7B-F16,0.714285714234694,0.5241424183220805,0.28394820225271983,3.7982292265213526e-05,0.3222434026530697,0.588298328332619,0.6344976111560123,0.26666666666666666,0.4615384615384615,0.0, A baseball player is holding a bat and getting ready to hit the ball.,9.815770179993706,2.448167815018678,2.815674965007929,38.17090380299487,1.0959486450010445,9.236272768001072,16,12853.02,595.49,1220.9
4754,llava-v1.5-7B-F16,0.6249999998437503,0.29880715225622895,2.4596703663517755e-06,7.386099953835683e-09,0.13061224489795917,0.4178082191780822,0.42854287819282,0.08695652173913045,0.2105263157894737,0.0, A herd of zebras grazing in a field.,9.815770179993706,2.4747864170058165,2.8303293680073693,38.11932350799907,1.0989454359805677,8.070549005002249,14,12853.02,595.49,1220.9
5205,llava-v1.5-7B-F16,0.7999999999200001,0.6666666665962965,0.5503212080874482,0.3928146508534768,0.3843639262920171,0.6609907120743034,1.5221765708777413,0.2962962962962963,0.6,0.1818181818181818, A man and a little girl are on a motorcycle.,9.815770179993706,2.5000770679907873,2.7910839930118527,37.97428575399681,1.092503886000486,7.4319036249944475,13,12853.02,595.49,1220.9
5804,llava-v1.5-7B-F16,0.6249999998437503,0.42257712725484126,3.0989904703692355e-06,8.783602617222663e-09,0.21677374661152943,0.4825949367088607,1.1186249235970018,0.08333333333333333,0.1818181818181818,0.0, A laptop is on a white chair outside.,9.815770179993706,2.478092724981252,2.8023002260015346,38.20806908400846,1.0991543300042395,5.801704230019823,10,12853.02,595.49,1220.9
7722,llava-v1.5-7B-F16,0.8668778995025025,0.8668778994921824,0.8668778994791105,0.728954518120046,0.3792841923979475,0.7904967602591793,2.7264551876254357,0.4,0.8,0.4, A cat is laying in a sink.,9.815770179993706,2.4667906079848763,2.811015004001092,38.22258018699358,1.0981393880210817,5.818642166996142,10,12853.02,595.49,1220.9
8612,llava-v1.5-7B-F16,0.5971094252791215,0.4136895448977815,3.129738775280846e-06,9.250379439222842e-09,0.11881256731674558,0.4178082191780822,0.28992982207966156,0.0625,0.13333333333333333,0.0, A cow standing in a field.,9.815770179993706,2.4416389639955014,2.807512475992553,38.16188815201167,1.1003613169887103,4.586239947995637,8,12853.02,595.49,1220.9
10092,llava-v1.5-7B-F16,0.6618726767729786,0.5003287149469438,0.3326781406642599,5.0489840121490154e-05,0.19050556869209495,0.511744966442953,0.6185161915109898,0.10526315789473685,0.23529411764705882,0.0, A bed with a green canopy over it.,9.815770179993706,2.47392592500546,2.780807281000307,38.10073829599423,1.099599011009559,6.290760993026197,11,12853.02,595.49,1220.9
12115,llava-v1.5-7B-F16,0.5384615384201185,0.42365927283421473,0.3195633126337532,0.23901088822429833,0.29072402156578725,0.5343065693430658,0.34321748766830074,0.12903225806451613,0.30769230769230765,0.0, A man in a black jacket stands in front of a bird cage.,9.815770179993706,2.47142909001559,2.860414173017489,39.3204547779751,1.1360053779790178,10.059506015997613,17,12853.02,595.49,1220.9
12120,llava-v1.5-7B-F16,0.6999999998600002,0.6236095643341374,0.4598206959660213,0.3432945239090836,0.2959757436100881,0.5669144981412639,1.2667076601084672,0.27586206896551724,0.4,0.0, A tennis match is taking place on a blue court.,9.815770179993706,2.4217607419996057,2.8040592950128485,38.31685988398385,1.1057222810050007,6.859263425983954,12,12853.02,595.49,1220.9
12268,llava-v1.5-7B-F16,0.8749999997812503,0.49999999987053595,3.46680637081769e-06,9.55442791933374e-09,0.23797327418201814,0.5446428571428571,1.027410393626048,0.25806451612903225,0.5,0.16666666666666669, A colorful bus shaped purse on a counter.,9.815770179993706,2.4561961890140083,2.7929107320087496,38.00909940802376,1.1026997329900041,7.517289101990173,13,12853.02,595.49,1220.9
13031,llava-v1.5-7B-F16,0.7777777776049386,0.6236095643194133,0.38157141409384626,5.51625153137941e-05,0.26520460730577067,0.6414300736067298,0.5326119544079352,0.14285714285714285,0.3333333333333333,0.0, A person is on a surfboard in the ocean.,9.815770179993706,2.4643141579872463,2.7967627520265523,37.98367737600347,1.0994629100023303,7.559813698986545,13,12853.02,595.49,1220.9
