image_id,model,Bleu_1,Bleu_2,Bleu_3,Bleu_4,METEOR,ROUGE_L,CIDEr,SPICE All,SPICE Obj,SPICE Rel,caption,t_load,t_embed,t_sys,t_img,t_usr,t_sample,tokens,mem_llm,mem_clip,mem_compute
1,MiniCPM-v2.6-Q5_K,0.7777777776049386,0.5400617247435577,0.3466806370930039,5.133450479131077e-05,0.39950679600690714,0.639412997903564,1.2161455803844605,0.08602150537634408,0.23076923076923078,0.0,Two men standing near a red and white plane.,1.3613043340010336,7.1097492830012925,1.8809996899999533,4.7576023359997635,1.0780842889998894,1.7972246370009088,11,5184.87,996.02,630.02
2,MiniCPM-v2.6-Q5_K,0.9999999996666668,0.9999999996500001,0.793700525688667,0.00011362193660082777,0.3437037968486546,0.8333333333333334,0.8945438421346725,0.0851063829787234,0.18181818181818182,0.07142857142857142,A small plane in the air.,1.3613043340010336,6.599923719000799,1.8010681060004572,4.66524154400031,1.0542307369978516,1.208704911001405,8,5184.87,996.02,630.02
4,MiniCPM-v2.6-Q5_K,0.9999999998000004,0.9428090413882642,0.9196413919320425,0.8164965807483078,0.4851599111297226,0.9,1.5180691351956388,0.07692307692307691,0.24000000000000002,0.0,A fighter jet parked in front of a modern building.,1.3613043340010336,6.8864647219998005,1.8594777609996527,4.741553947000284,1.0946112310011813,2.0002805269996315,12,5184.87,996.02,630.02
5,MiniCPM-v2.6-Q5_K,0.9999999996000004,0.8660254034163782,0.6299605246569553,0.00010573712628898506,0.22580645161290325,0.5907990314769976,0.4480387806255964,0.055045871559633024,0.12121212121212122,0.047619047619047616,A plane at an airport.,1.3613043340010336,6.583635494998816,1.8096626400001696,4.674060826999266,1.0595017499999813,1.0524603339999885,7,5184.87,996.02,630.02
6,MiniCPM-v2.6-Q5_K,0.9999999997500004,0.9999999997410718,0.9410360286270985,0.8408964150152106,0.4507435329946623,0.8798076923076923,1.1840253124991975,0.06666666666666667,0.16,0.0,A large airplane taking off from a runway.,1.3613043340010336,6.772877982000864,1.780490760000248,4.708692383001107,1.058822147999308,1.4960844420002104,10,5184.87,996.02,630.02
7,MiniCPM-v2.6-Q5_K,0.9230769230059173,0.7337993856465449,0.6255240359673047,0.5205510362596439,0.32202878263297363,0.583359897991712,0.5089260302231127,0.07407407407407407,0.19999999999999998,0.0,Three airplanes are flying over a city and leaving a trail of smoke.,1.3613043340010336,6.80547420000039,1.7852726239998447,4.709868318999725,1.0670679360009672,2.2446592680007598,15,5184.87,996.02,630.02
8,MiniCPM-v2.6-Q5_K,0.9999999999166668,0.9534625891625256,0.8601386274585894,0.7292571723170379,0.45145787499651424,0.7735507246376813,1.2257183862421885,0.1621621621621622,0.1904761904761905,0.08695652173913045,A large white and green plane is taking off from a runway.,1.3613043340010336,6.7827279009998165,1.802316470999358,4.702925416999278,1.0553200690010272,2.110261530999196,14,5184.87,996.02,630.02
10,MiniCPM-v2.6-Q5_K,0.9999999998333334,0.9999999998295456,0.9999999998252527,0.9391044155850221,0.3964420333465623,0.7088313413014609,1.327020715547917,0.08571428571428572,0.2424242424242424,0.029411764705882356,A small dock with a plane and a boat in the water.,1.3613043340010336,6.899507665999408,1.8133817910002108,4.774280742998599,1.077275377998376,2.2324383089999174,14,5184.87,996.02,630.02
11,MiniCPM-v2.6-Q5_K,0.9999999996666668,0.8944271906868665,0.5848035474248966,9.036020032446394e-05,0.34740942124037694,0.7587064676616916,0.4155088006873697,0.12195121951219512,0.1904761904761905,0.07142857142857142,A large commercial jet in flight.,1.3613043340010336,7.012545052999485,1.9338982600002055,4.836651503999747,1.0956732409995311,1.2802561109983799,8,5184.87,996.02,630.02
15,MiniCPM-v2.6-Q5_K,0.8888888886913584,0.7453559923291194,0.54144350708125,7.171781505449112e-05,0.4012418472305154,0.8323586744639376,1.3258470840898076,0.05882352941176471,0.1904761904761905,0.0,A large Das Air Cargo jetliner on a runway.,1.3613043340010336,6.814636572000381,1.7829388369991648,4.667283139000574,1.0490012749996822,1.890407820001201,12,5184.87,996.02,630.02
17,MiniCPM-v2.6-Q5_K,0.9999999998000004,0.9428090413882642,0.7631428282070738,8.926472273745139e-05,0.4076170520955832,0.7936802973977695,0.6951270910671404,0.16666666666666669,0.2222222222222222,0.10526315789473684,"A small, white and black airplane is on a tarmac.",1.3613043340010336,6.942154647998905,1.753076279999732,4.6518469889997505,1.0664851290002844,2.1435979359994235,14,5184.87,996.02,630.02
20,MiniCPM-v2.6-Q5_K,0.9999999997777782,0.8660254035859749,0.7539474409501415,0.6147881527990924,0.41934342170739364,0.8299319727891156,1.240220692796243,0.14285714285714288,0.2857142857142857,0.0,A colorful old propeller plane flying in the sky.,1.3613043340010336,7.180177584001285,1.8745452610000939,4.7545537980004156,1.0907700040006603,1.9389415139994526,12,5184.87,996.02,630.02
23,MiniCPM-v2.6-Q5_K,0.7333333332844446,0.6055300707776881,0.483202704584941,0.3703046833542859,0.46517206354710183,0.7360482654600301,0.42649100167869847,0.13186813186813187,0.2608695652173913,0.0,A white Air Pacific plane with a rainbow colored tail is parked on a runway.,1.3613043340010336,6.799528596002347,1.7877740260009887,4.669808104001277,1.0549395070011087,2.648374443000648,17,5184.87,996.02,630.02
28,MiniCPM-v2.6-Q5_K,0.9999999996666668,0.9999999996500001,0.9085602960778836,0.0001257433429174723,0.343326080651129,0.7587064676616916,1.0805968236027816,0.0898876404494382,0.25,0.07142857142857142,A CSA airplane in the sky.,1.3613043340010336,6.798940104999929,1.7779002450006374,4.673142113999347,1.0694364579994726,1.259797084998354,8,5184.87,996.02,630.02
29,MiniCPM-v2.6-Q5_K,0.9999999997500004,0.9999999997410718,0.8735804645005713,0.7952707285414876,0.5002021190341429,0.875,1.193215224382636,0.06666666666666667,0.14285714285714288,0.0,A propeller airplane is parked on a runway.,1.3613043340010336,6.7962099720007245,1.790096867000102,4.677759445999982,1.0583618130003742,1.6677271879998443,11,5184.87,996.02,630.02
30,MiniCPM-v2.6-Q5_K,0.9999999998333334,0.9534625890830704,0.817057940500465,0.5900468725332663,0.3050549335945485,0.5865384615384615,0.3632008371097833,0.10810810810810811,0.2666666666666667,0.03846153846153846,A group of men stand around a large airplane on the runway.,1.3613043340010336,8.01528881000013,2.108940000000075,5.857610131999536,1.2839968919997773,2.2115177319992654,14,5184.87,996.02,630.02
31,MiniCPM-v2.6-Q5_K,0.9999999997142859,0.9128709289035893,0.5503212079770202,8.034284186773209e-05,0.3559107285656543,0.5700934579439253,1.2972464303128581,0.07692307692307693,0.25,0.0,A plane flies against a sunset sky.,1.3613043340010336,6.22140255100021,1.7784260469998117,4.695107412999278,1.0622054320010648,1.3932820449990686,9,5184.87,996.02,630.02
32,MiniCPM-v2.6-Q5_K,0.9090909089256201,0.6030226890431458,0.4323328780825247,0.3170233137896791,0.43071488473617514,0.6944971537001898,0.5443200677194371,0.07936507936507937,0.21621621621621626,0.0,Two planes performing tricks and leaving smoke trails in the sky.,1.3613043340010336,6.827974383000765,1.778729386998748,4.686011527001028,1.0726223120000213,1.994847859001311,13,5184.87,996.02,630.02
