image_id,model,Bleu_1,Bleu_2,Bleu_3,Bleu_4,METEOR,ROUGE_L,CIDEr,SPICE All,SPICE Obj,SPICE Rel,caption,t_load,t_embed,t_sys,t_img,t_usr,t_sample,tokens,mem_llm,mem_clip,mem_other
1,llava-v1.5-7B-F16,0.9999999997500004,0.9258200995328305,0.8298265331423224,0.6914415690877681,0.4330443609938043,0.875,1.5779531616629296,0.10869565217391304,0.29629629629629634,0.0, Two men standing in front of a plane.,32.04295313699913,2.7580355090012745,3.0494106830010423,40.179809774001114,1.1073837699987052,5.416298445001303,10,12853.02,595.49,1220.9
2,llava-v1.5-7B-F16,0.9999999997142859,0.9999999997023811,0.7368062994976794,0.562341325003237,0.4746383708883552,0.842929525564256,0.8706264188174233,0.06451612903225806,0.18181818181818182,0.0, A small airplane flying in the sky.,32.04295313699913,2.467105930998514,2.7973922719975235,38.13065234599708,1.0794729130029737,5.3224108460017305,10,12853.02,595.49,1220.9
4,llava-v1.5-7B-F16,0.9999999998000004,0.9999999997944449,0.9999999997879634,0.9999999997802583,1.0,1.0,2.1522393848654273,0.07843137254901959,0.24000000000000002,0.0, A fighter jet is parked in front of a building.,32.04295313699913,2.6912395960007416,2.9804321020001225,42.25547581599858,1.202347219999865,8.817466403999788,14,12853.02,595.49,1220.9
5,llava-v1.5-7B-F16,0.9999999998000004,0.9428090413882642,0.7631428282070738,0.59694917907079,0.3796010932296159,0.7038461538461538,0.5778345964999501,0.07272727272727272,0.12121212121212122,0.0, A white and blue airplane is parked on the runway.,32.04295313699913,2.4848270490001596,2.777922892000788,38.13680335100071,1.0718572570003744,8.050752326002112,15,12853.02,595.49,1220.9
6,llava-v1.5-7B-F16,0.9999999997500004,0.9258200995328305,0.6586337558306233,8.694417436433826e-05,0.26986986554933645,0.6708211143695014,0.733388695431791,0.10869565217391304,0.16,0.05555555555555556, A large white airplane is on the runway.,32.04295313699913,2.4419003120019624,2.801891904000513,38.060436947998824,1.0668714489984268,6.399608231000457,12,12853.02,595.49,1220.9
7,llava-v1.5-7B-F16,0.7777777776049386,0.6236095643194133,0.38157141409384626,5.51625153137941e-05,0.2787791935160264,0.3696969696969697,0.5888158244216193,0.03076923076923077,0.10526315789473684,0.0, A city skyline with a plane flying over it.,32.04295313699913,2.486756618000072,2.7993944080008077,38.09914881000077,1.0746417520022078,6.507979638998222,12,12853.02,595.49,1220.9
8,llava-v1.5-7B-F16,0.9999999999166668,0.9045340336544869,0.7888607682266757,0.6834466814660195,0.5086572445368954,0.8798076923076923,1.2617045124132973,0.1621621621621622,0.1904761904761905,0.08695652173913045, A large green and white airplane is taking off from the runway.,32.04295313699913,2.4697610209987033,2.797780512999452,38.06841796899971,1.0730918750014098,8.41164976300206,16,12853.02,595.49,1220.9
10,llava-v1.5-7B-F16,0.9999999996666668,0.9999999996500001,0.9085602960778836,0.7071067809007587,0.3361352746290959,0.8133333333333334,0.6101838417370851,0.044444444444444446,0.12903225806451613,0.030303030303030307, A plane is on the water.,32.04295313699913,2.6944108690004214,3.0592817060005473,43.381549960000484,1.229430556000807,5.305534047998663,8,12853.02,595.49,1220.9
11,llava-v1.5-7B-F16,0.999999999818182,0.9999999998136365,0.9196413919508533,0.8349950230407167,0.4108614644026988,0.8181818181818181,1.0039805891304057,0.16470588235294117,0.34782608695652173,0.06896551724137931," A white airplane with the words ""Austrian Arrows"" on the side.",32.04295313699913,2.4948045129985985,2.777353260999007,38.193493793000016,1.0792250060003425,10.23404180199941,19,12853.02,595.49,1220.9
15,llava-v1.5-7B-F16,0.9999999997777782,0.9999999997708338,0.9999999997625665,0.9999999997524806,1.0,1.0,2.522266033758704,0.1791044776119403,0.19999999999999998,0.1, A Das Air Cargo plane is on the runway.,32.04295313699913,2.4273543849994894,2.7584224109996285,38.49256402300125,1.0684202049997111,6.900505432999125,13,12853.02,595.49,1220.9
